function,category,original_line,current_line,cpp_locations
function_40e850,modified_nonempty_body,26313,25514,
function_40eae0,modified_nonempty_body,26434,25637,
function_40ebf0,unchanged_decompiled_body,26479,25682,
function_40ec30,unchanged_decompiled_body,26494,25697,
function_40ec70,unchanged_decompiled_body,26511,25714,
function_40ed40,unchanged_decompiled_body,26563,25766,
function_40ee30,unchanged_decompiled_body,26674,25877,
function_40efd0,unchanged_decompiled_body,26806,26009,
function_40f130,unchanged_decompiled_body,26867,26070,
function_40f1c0,modified_nonempty_body,26936,26139,
function_40f2e0,unchanged_decompiled_body,27015,26218,
function_40f370,modified_nonempty_body,27095,26298,
function_40f5e0,modified_nonempty_body,27154,26357,
function_40f790,modified_nonempty_body,27182,26385,
function_40fe30,unchanged_decompiled_body,27508,26711,
function_40ffb0,unchanged_decompiled_body,27648,26851,
function_4100c0,unchanged_decompiled_body,27879,27082,
function_4100f0,modified_nonempty_body,27900,27103,
function_410110,unchanged_decompiled_body,27919,27122,
function_410160,unchanged_decompiled_body,27941,27144,
function_410190,unchanged_decompiled_body,27949,27152,
function_4101a0,unchanged_decompiled_body,27956,27159,
function_4101e0,unchanged_decompiled_body,27967,27170,
function_410230,unchanged_decompiled_body,27985,27188,
function_410260,unchanged_decompiled_body,28006,27209,
function_410270,modified_nonempty_body,28015,27218,
function_4103b0,modified_nonempty_body,28061,27264,
function_410480,unchanged_decompiled_body,28084,27287,
function_410500,modified_nonempty_body,28104,27405,
function_410750,modified_nonempty_body,28212,27496,
function_4109a0,unchanged_decompiled_body,28308,27529,
function_4109d0,modified_nonempty_body,28327,27549,
function_410b90,modified_nonempty_body,28460,27592,
function_410c00,modified_nonempty_body,28498,27634,
function_410c80,unchanged_decompiled_body,28530,27673,
function_410cb0,unchanged_decompiled_body,28547,27690,
function_410d90,unchanged_decompiled_body,28620,27763,
function_410e00,unchanged_decompiled_body,28654,27797,
function_410e80,unchanged_decompiled_body,28684,27827,
function_410ef0,unchanged_decompiled_body,28756,27899,
function_411000,unchanged_decompiled_body,28800,27943,
function_411040,unchanged_decompiled_body,28842,27985,
function_411100,modified_nonempty_body,28987,28130,
function_411390,unchanged_decompiled_body,29379,28522,
function_4113f0,unchanged_decompiled_body,29413,28556,
function_411450,unchanged_decompiled_body,29432,28575,
function_411520,unchanged_decompiled_body,29513,28656,
function_411720,unchanged_decompiled_body,29793,28936,
function_411870,unchanged_decompiled_body,29934,29077,
function_411930,unchanged_decompiled_body,30059,29202,
function_411980,unchanged_decompiled_body,30076,29219,
function_4119a0,unchanged_decompiled_body,30088,29231,
function_4119e0,unchanged_decompiled_body,30108,29251,
function_411a10,unchanged_decompiled_body,30125,29268,
function_411ff0,original_short_body,30128,29271,
function_411aa0,unchanged_decompiled_body,30138,29281,
function_411d10,unchanged_decompiled_body,30322,29465,
function_411d30,unchanged_decompiled_body,30335,29478,
function_411d80,modified_nonempty_body,30349,29492,
function_411f90,unchanged_decompiled_body,30423,29620,
function_412060,unchanged_decompiled_body,30461,29658,
function_4120c0,unchanged_decompiled_body,30474,29671,
function_4120d0,modified_nonempty_body,30481,29678,
function_412210,original_short_body,30560,29757,
function_412240,modified_nonempty_body,30566,29763,
function_412350,unchanged_decompiled_body,30729,29927,
function_4123a0,unchanged_decompiled_body,30739,29937,
function_4123c0,original_short_body,30746,29944,
function_4123e0,modified_nonempty_body,30752,29950,
function_4125d0,original_short_body,30782,29982,
function_4125e0,modified_nonempty_body,30788,29988,
function_412610,unchanged_decompiled_body,30799,29999,
function_412660,unchanged_decompiled_body,30829,30029,
function_412680,unchanged_decompiled_body,30842,30042,
function_412720,unchanged_decompiled_body,30879,30079,
function_4127b0,unchanged_decompiled_body,30911,30111,
function_412890,modified_nonempty_body,30934,30134,
function_412ad0,modified_nonempty_body,31094,30331,
function_412b80,modified_nonempty_body,31216,30500,
function_412c10,modified_nonempty_body,31247,30544,
function_412ca0,modified_nonempty_body,31290,30576,
function_412d30,unchanged_decompiled_body,31302,30594,
function_412da0,unchanged_decompiled_body,31316,30608,
function_412ef0,unchanged_decompiled_body,31374,30666,
function_413000,unchanged_decompiled_body,31433,30725,
function_4130a0,unchanged_decompiled_body,31508,30800,
function_4131b0,unchanged_decompiled_body,31580,30872,
function_4131e0,unchanged_decompiled_body,31598,25057,
function_413470,unchanged_decompiled_body,31761,31053,
function_4134e0,unchanged_decompiled_body,31785,31077,
function_413500,modified_nonempty_body,31799,31091,
function_413f18,unchanged_decompiled_body,32552,31848,
function_414010,modified_nonempty_body,32582,31878,
function_4141e0,unchanged_decompiled_body,32620,31945,
function_4145b0,modified_nonempty_body,33409,32734,
function_4146a0,modified_nonempty_body,33438,32765,
function_414850,modified_nonempty_body,33464,32793,
function_414930,modified_nonempty_body,33479,32810,
function_414a30,unchanged_decompiled_body,33494,32827,
function_414ad0,unchanged_decompiled_body,33527,32860,
function_414b80,unchanged_decompiled_body,33572,32905,
function_414c10,unchanged_decompiled_body,33621,32954,
function_414c70,unchanged_decompiled_body,33661,32994,
function_414cb0,unchanged_decompiled_body,33676,33009,
function_414d60,original_short_body,33712,33045,
function_414d80,unchanged_decompiled_body,33720,33053,
function_414db0,original_short_body,33751,33084,
function_414dd0,unchanged_decompiled_body,33759,33092,
function_414e00,unchanged_decompiled_body,33790,33123,
function_414e10,unchanged_decompiled_body,33799,33132,
function_414e40,unchanged_decompiled_body,33808,33141,
function_414e50,unchanged_decompiled_body,33817,33150,
function_414e80,unchanged_decompiled_body,33826,33159,
function_414ed0,unchanged_decompiled_body,33852,33185,
function_414fa0,unchanged_decompiled_body,33927,33260,
function_414fe0,unchanged_decompiled_body,33946,33279,
function_415070,unchanged_decompiled_body,33986,33319,
function_4150a0,original_short_body,33999,33332,
function_4150b0,unchanged_decompiled_body,34007,33340,
function_4150e0,unchanged_decompiled_body,34022,33355,
function_415110,unchanged_decompiled_body,34034,33367,
function_415130,unchanged_decompiled_body,34048,33381,
function_415190,unchanged_decompiled_body,34065,33398,
function_4151a0,unchanged_decompiled_body,34073,33406,
function_4151d0,unchanged_decompiled_body,34088,33421,
function_4151e0,unchanged_decompiled_body,34094,33427,
function_4151f0,unchanged_decompiled_body,34102,33435,
function_415220,unchanged_decompiled_body,34118,33451,
function_415230,unchanged_decompiled_body,34126,33459,
function_4152a0,unchanged_decompiled_body,34143,33476,
function_415350,modified_nonempty_body,34176,33509,
function_48a6f0,unchanged_decompiled_body,34180,33513,src/squirrel/squirrel_legacy_api.cpp:104
function_4153e0,unchanged_decompiled_body,34206,33539,
function_415420,unchanged_decompiled_body,34220,33553,
function_415480,unchanged_decompiled_body,34247,33580,
function_415550,unchanged_decompiled_body,34281,33614,src/squirrel/sqrat_object_bridge.cpp:239
function_4155d0,unchanged_decompiled_body,34298,33639,
function_4156d0,unchanged_decompiled_body,34332,33673,
function_415750,unchanged_decompiled_body,34353,33694,
function_415790,unchanged_decompiled_body,34370,33711,
function_415810,modified_nonempty_body,34395,33738,src/squirrel/sqrat_object_bridge.cpp:259
function_415870,unchanged_decompiled_body,34406,33745,
function_4158e0,unchanged_decompiled_body,34420,33759,
function_4159a0,unchanged_decompiled_body,34459,33798,
function_4159d0,unchanged_decompiled_body,34479,33818,
